tns_name,repeater_name,ra,dec,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,is_repeater,is_pcc_candidate,catalog,redshift,fre_width,fre_width_ob,in_duration,energy,luminosity,T_B,log_dm_fitb,log_bonsai_dm,log_dm_exc_ne2001,log_dm_exc_ymw16,log_bc_width,log_scat_time,log_flux,log_fluence,log_width_fitb,log_high_freq,log_low_freq,log_peak_freq,log_fre_width,log_redshift,log_in_duration,log_energy,log_luminosity,log_T_B
FRB20180725A,-9999,93.42,67.07,147.29,21.29,30.0,-9999.0,19.2,716.6,33.2,715.8093,644.2,635.4,0.00295,0.0011,1.7,4.1,0,0.000296,38.2,-45.8,760.1,485.3,607.4,371857.954,371481,0.403,0,0,2021,0.6407402659938929,450.8754250951217,274.8,0.18040637274218135,2.8279444076400684e+40,1.9238702052030301e+43,5.515622348763407e+35,2.8547973365692747,2.8552768038300917,2.8090207204836726,2.803047210491129,-2.530177984021837,-2.958607314841775,0.2304489213782739,0.6127838567197355,-3.5287082889410613,2.8808707325324234,2.6860102913152857,2.7834747875822465,2.6540565647888616,-0.19331798281402676,-0.7437481253424103,40.45147086775129,43.284175768811174,35.74159452264832
FRB20180727A,-9999,197.72,26.42,24.76,85.6,10.4,-9999.0,10.4,642.1,12.2,642.134,620.9,622.4,0.00295,0.0017,0.58,2.31,0,0.00139,3.8,-9.2,800.2,400.2,493.3,382969.318,381818,0.387,0,0,2021,0.6148179081285525,645.9271632514211,400.00000000000006,0.8607781676207078,1.1895714461996818e+40,4.823142593534821e+42,2.622745504786962e+35,2.807625665744962,2.8076026699164944,2.793021659845983,2.7940695839816323,-2.530177984021837,-2.769551078621726,-0.23657200643706275,0.36361197989214433,-2.856985199745905,2.903198547042978,2.6022770843001926,2.693111115462141,2.81018354836441,-0.21125349106145608,-0.06510875678235252,40.07539053107985,42.68333010178709,35.41875615134945
FRB20180729A,-9999,199.4,55.58,115.26,61.16,21.0,-9999.0,32.0,108.4,206.6,109.59418,78.8,86.8,0.00098,0.0001574,11.7,17.0,0,0.0001,16.46,-30.21,692.7,400.2,525.6,264732.041,186953,0.399,0,0,2021,0.002248222001635545,293.15760493547845,292.50000000000006,0.09977568211623808,1.070357506032318e+36,7.383139832779911e+38,4.8459012880648646e+32,2.0397874915480085,2.0350292822023683,1.8965262174895554,1.9385197251764918,-3.0087739243075053,-3.8029952719769544,1.0681858617461617,1.2304489213782739,-4.0,2.8405451876368386,2.6022770843001926,2.7206553565517244,2.46710116489869,-2.6481608063926076,-1.0009752944804904,36.02952885896073,38.86824109380911,32.68537456323001
FRB20180729B,-9999,89.93,56.5,156.9,15.68,21.0,-9999.0,12.4,318.6,22.0,317.2235,223.2,198.8,0.00197,0.00066,0.92,1.2,0,0.000314,14.5,-14.6,800.2,441.8,657.5,425139.488,421337,0.323,0,0,2021,0.15756591761040872,414.87162487157053,358.40000000000003,0.27125885033674607,4.966121897294179e+38,4.4072703124383024e+41,3.1661480437051694e+34,2.501365352486319,2.503245771465113,2.348694190265541,2.2984163800612945,-2.705533773838407,-3.1804560644581312,-0.036212172654444715,0.07918124604762482,-3.503070351926785,2.903198547042978,2.6452257115354163,2.8178957571617955,2.617913732290743,-0.8025377170144176,-0.5666160832274403,38.696017375442565,41.64416968804115,34.50053121787348
FRB20180730A,-9999,57.39,87.19,125.11,25.11,270.0,214.0,69.5,849.2,89.8,848.9041,789.7,790.5,0.00492,0.002073,5.2,27.0,0,0.000468,4.27,-11.31,759.2,400.2,483.5,429165.844,417689,0.329,0,0,2021,0.8024046566162314,647.0632717252271,359.00000000000006,0.2596531241095471,2.3355103354027004e+41,8.107252022721055e+43,1.5080950593016126e+36,2.9288586311235245,2.9290099854939613,2.897462138013063,2.8979018742682277,-2.30803489723264,-2.6834006979061393,0.7160033436347992,1.4313637641589874,-3.329754146925876,2.880356199419236,2.6022770843001926,2.6843964784190204,2.810946749320348,-0.09560655962763646,-0.5856064476679049,41.36838179352422,43.908873673742065,36.17842871714981
FRB20180801A,-9999,322.53,72.72,109.21,15.46,39.0,31.0,20.4,656.7,40.9,655.728,565.6,547.7,0.00983,0.00554,1.11,7.9,0,0.00058,60.0,-75.5,709.3,500.2,595.6,804325.253,800121,0.357,0,0,2021,0.5531595784381996,324.76566785142745,209.09999999999997,0.37343232984676744,3.9572193380966325e+40,8.635790331683138e+42,2.4982844927844867e+34,2.816723728711299,2.8173670162875943,2.752509400788843,2.7385427409287852,-2.0074464821678646,-2.25649023527157,0.045322978786657475,0.8976270912904415,-3.2365720064370627,2.850829959848531,2.699143687394484,2.7749546890801384,2.511570112161632,-0.25714956302155895,-0.4277880857810226,40.597390122716135,42.93630208955631,34.39764189224922
FRB20180806A,-9999,228.56,75.62,112.27,38.4,48.0,39.0,13.9,739.2,14.4,739.9482,699.3,706.0,0.00295,0.0016,1.9,7.6,0,0.00141,0.1,-0.1,800.2,400.2,665.3,370874.518,369658,0.406,0,0,2021,0.7019693816568067,680.7877526627227,400.00000000000006,0.8284520363271254,6.910213312381039e+40,2.9402428695974477e+43,6.183891274653243e+35,2.8692013180531717,2.8687619582120503,2.8446635282402393,2.8488047010518036,-2.530177984021837,-2.795880017344075,0.2787536009528289,0.8808135922807914,-2.85078088734462,2.903198547042978,2.6022770843001926,2.8230175234460493,2.8330117342110186,-0.15368183041647776,-0.08173263022767642,40.839491453880726,43.46838320543582,35.79126184519985
FRB20180810A,-9999,101.47,34.86,180.67,14.06,15.0,-9999.0,13.1,415.7,16.5,414.8804,310.2,274.7,0.00197,0.000253,1.1,1.7,0,0.000322,1.1,-1.7,800.2,400.2,552.9,356074.278,356889,0.427,0,0,2021,0.2619392103601888,504.77568414407557,400.00000000000006,0.2551628456873871,1.687960484695338e+39,1.3783022784077646e+42,1.5274281917583182e+35,2.6179229181432406,2.618780024506215,2.4916417934775863,2.438858659420562,-2.705533773838407,-3.596879478824182,0.04139268515822508,0.2304489213782739,-3.492144128304169,2.903198547042978,2.6022770843001926,2.7426465899387362,2.7030984260768096,-0.5817994860403883,-0.5931825630530164,39.227362275536294,42.1393444740651,35.183960802118406
FRB20180810B,-9999,180.41,83.14,124.71,33.82,58.0,38.0,38.6,169.8,55.1,169.1385,123.3,129.6,0.00098,0.000201,5.2,7.9,0,0.000311,-0.76,-4.06,778.6,400.2,400.2,191482.92,183305,0.411,0,0,2021,0.031017621765497428,390.1370680760642,378.40000000000003,0.30164372890877345,7.314665067826559e+37,4.964057294640106e+40,7.174873987523235e+34,2.228242474744004,2.229937685907934,2.0909630765957314,2.1126050015345745,-3.0087739243075053,-3.696803942579511,0.7160033436347992,0.8976270912904415,-3.5072396109731625,2.8913143993821433,2.6022770843001926,2.6022770843001926,2.591217215874683,-1.5083915041921907,-0.5205056991180904,37.864194444948694,40.69583678543798,34.855814277949044
FRB20180812A,-9999,19.33,80.78,124.02,17.96,50.0,45.0,12.5,795.8,20.5,802.451,722.1,708.4,0.00786,0.00281,0.93,5.4,0,0.0013,-2.9,-8.3,586.4,400.2,400.2,563105.45,560873,0.399,0,0,2021,0.7272927934966025,321.62191814906737,186.2,0.7526228355115042,3.172789715073139e+40,9.438357839661397e+42,1.2658467116249053e+35,2.904418522598003,2.9008039348103694,2.8585973449946924,2.850278552518037,-2.104577453960592,-2.55129368009492,-0.03151705144606486,0.7323937598229685,-2.886056647693163,2.7681939616330715,2.6022770843001926,2.6022770843001926,2.5073456377344803,-0.13829071568742057,-0.12342260878231971,40.50144128905291,42.97489643887304,35.10238111774604
